X (Hz),Y (dBV),
30432.86,-92.92986,
30471.04,-92.99699,
30509.22,-92.85544,
30547.41,-92.69609,
30585.59,-92.8075,
30623.78,-92.87108,
30661.96,-92.94239,
30700.15,-92.86613,
30738.33,-92.68704,
30776.51,-93.07847,
30814.7,-93.32634,
30852.88,-92.98096,
30891.07,-92.93397,
30929.25,-93.10765,
30967.44,-93.29421,
31005.62,-94.27728,
31043.8,-92.88437,
31081.99,-93.82195,
31120.17,-88.22974,
31158.36,-92.45593,
31196.54,-91.73752,
31234.73,-92.73849,
31272.91,-92.98196,
31311.09,-92.55977,
31349.28,-92.5331,
31387.46,-92.64431,
31425.65,-92.98722,
31463.83,-93.01957,
31502.02,-92.74673,
31540.2,-92.74796,
31578.38,-92.77276,
31616.57,-92.86844,
31654.75,-93.0957,
31692.94,-92.72063,
31731.12,-92.95168,
31769.3,-93.1224,
31807.49,-92.77413,
31845.67,-92.76244,
31883.86,-92.86124,
31922.04,-92.90865,
31960.23,-92.91184,
31998.41,-93.06938,
32036.6,-92.44369,
32074.78,-92.97998,
32112.96,-93.44342,
32151.15,-93.15248,
32189.33,-92.53271,
32227.52,-93.36452,
32265.7,-92.89149,
32303.88,-92.42638,
32342.07,-92.80419,
32380.25,-92.9436,
32418.44,-93.22681,
32456.62,-93.17467,
32494.81,-92.97076,
32532.99,-93.14187,
32571.18,-93.40759,
32609.36,-93.20399,
32647.54,-93.40364,
32685.73,-93.02857,
32723.91,-92.90165,
32762.1,-93.05252,
32800.28,-93.14625,
32838.46,-92.77628,
32876.65,-93.45625,
32914.83,-92.83881,
32953.02,-93.75741,
32991.2,-93.68522,
33029.39,-92.15066,
33067.57,-92.4193,
33105.75,-90.52443,
33143.94,-93.46116,
33182.13,-92.85475,
33220.31,-93.71983,
33258.49,-93.12232,
33296.68,-93.23836,
33334.86,-93.15804,
33373.04,-93.02194,
33411.23,-93.14899,
33449.41,-92.98993,
33487.6,-93.30493,
33525.78,-93.51502,
33563.96,-93.95352,
33602.15,-93.44959,
33640.34,-93.15639,
33678.52,-92.45088,
33716.7,-93.08208,
33754.89,-92.70459,
33793.07,-93.5591,
33831.25,-93.21313,
33869.44,-93.26085,
33907.62,-92.93739,
33945.81,-93.20082,
33983.99,-93.04618,
34022.18,-93.74673,
34060.36,-93.85178,
34098.55,-93.76497,
34136.73,-92.49642,
34174.91,-92.84179,
34213.1,-93.23246,
34251.28,-93.19489,
34289.46,-93.05691,
34327.65,-93.17918,
34365.84,-93.11316,
34404.02,-93.23802,
34442.2,-93.32047,
34480.39,-93.43082,
34518.57,-93.52497,
34556.76,-93.03275,
34594.94,-93.30702,
34633.13,-93.11986,
34671.31,-93.27305,
34709.49,-93.37132,
34747.68,-93.4002,
34785.86,-93.53677,
34824.05,-92.77947,
34862.23,-93.23692,
34900.41,-93.31673,
34938.6,-93.23342,
34976.79,-93.20057,
35014.97,-93.0949,
35053.15,-93.36438,
35091.34,-93.17734,
35129.52,-93.33,
35167.7,-93.23692,
35205.89,-93.39103,
35244.07,-93.20609,
35282.26,-93.26023,
35320.44,-93.31453,
35358.63,-93.32314,
35396.81,-93.32961,
35435,-93.30627,
35473.18,-93.26041,
35511.36,-93.3287,
35549.55,-93.26061,
35587.73,-93.28844,
35625.91,-93.36204,
35664.1,-93.41798,
35702.29,-93.39154,
35740.47,-93.35963,
35778.65,-93.29472,
35816.84,-93.31075,
35855.02,-93.33218,
35893.21,-93.35239,
35931.39,-93.2948,
35969.57,-93.31528,
36007.76,-93.27765,
36045.94,-93.24326,
36084.13,-93.37838,
36122.31,-93.24748,
36160.5,-93.36269,
36198.68,-93.39993,
36236.86,-93.3554,
36275.05,-93.38744,
36313.23,-93.37894,
36351.42,-93.3703,
36389.6,-93.36182,
36427.79,-93.37144,
36465.97,-93.35664,
36504.15,-93.40446,
36542.34,-93.38539,
36580.52,-93.3981,
36618.71,-93.38235,
36656.89,-93.37779,
36695.07,-93.38101,
36733.26,-93.38651,
36771.45,-93.38077,
36809.63,-93.39356,
36847.81,-93.391,
36886,-93.39477,
36924.18,-93.39426,
36962.36,-93.39347,
37000.55,-93.39632,
37038.73,-93.40611,
37076.92,-93.39099,
37115.1,-93.39912,
37153.29,-93.39568,
37191.47,-93.40799,
37229.66,-93.39899,
37267.84,-93.40648,
37306.02,-93.40572,
37344.21,-93.40549,
37382.39,-93.4071,
37420.57,-93.40648,
37458.76,-93.41089,
37496.95,-93.41399,
37535.13,-93.41057,
37573.31,-93.41309,
37611.5,-93.41682,
37649.68,-93.41823,
37687.87,-93.41878,
37726.05,-93.41689,
37764.23,-93.41756,
37802.42,-93.42215,
37840.6,-93.42156,
37878.79,-93.42068,
37916.97,-93.42194,
37955.16,-93.42415,
37993.34,-93.42599,
38031.52,-93.42612,
38069.71,-93.42409,
38107.89,-93.41995,
38146.08,-93.42863,
38184.26,-93.42717,
38222.45,-93.42726,
38260.63,-93.43014,
38298.81,-93.42805,
38337,-93.42925,
38375.18,-93.42937,
38413.37,-93.43026,
38451.55,-93.43223,
38489.73,-93.43283,
38527.92,-93.43159,
38566.11,-93.4315,
38604.29,-93.43399,
38642.47,-93.43688,
38680.66,-93.43197,
38718.84,-93.43472,
38757.02,-93.43436,
38795.21,-93.43533,
38833.39,-93.43567,
38871.58,-93.43301,
38909.76,-93.4333,
38947.95,-93.43588,
38986.13,-93.43604,
39024.32,-93.43523,
39062.5,-93.43726,
